sentiment,type_token_ratio,avg_word_length,exclamation_dens,question_dens,emoji_count,positive_ratio,negative_ratio,sentiment_polarity,first_person_dens,sentence_count
-1,0.9473684210526315,4.7894736842105265,0.0,0.0,0.0,0.0,0.105,-0.08888888888888886,0.0,1.0
-1,0.9523809523809523,4.904761904761905,0.0,0.0,0.0,0.0,0.35,-0.8,0.0,1.0
-1,1.0,5.230769230769231,0.0,0.0,0.0,0.078,0.236,-0.2583333333333333,0.0,1.0
-1,0.8055555555555556,5.611111111111111,0.0,0.0,0.0,0.072,0.0,-0.03125,0.0,1.0
-1,0.8947368421052632,4.2368421052631575,0.0,0.0,0.0,0.0,0.107,-0.14444444444444446,0.0,1.0
-1,1.0,4.117647058823529,0.0,0.0,0.0,0.131,0.0,-0.05555555555555555,0.0,1.0
-1,0.7142857142857143,4.642857142857143,0.0,0.0,0.0,0.274,0.062,-0.033333333333333326,0.0,1.0
-1,0.875,4.575,0.0,0.0,0.0,0.055,0.369,-0.375,0.0,1.0
-1,0.8055555555555556,5.5,0.0,0.0,0.0,0.0,0.054,-0.11666666666666668,0.0,1.0
-1,0.92,6.2,0.0,0.0,0.0,0.325,0.129,-0.2,0.0,1.0
-1,0.8,5.175,0.0,0.0,0.0,0.12,0.232,-0.12000000000000002,0.0,1.0
-1,1.0,4.7368421052631575,0.0,0.0,0.0,0.088,0.148,-0.10096153846153846,0.0,1.0
-1,0.9722222222222222,6.055555555555555,0.0,0.0,0.0,0.194,0.202,-0.09027777777777779,0.0,1.0
-1,1.0,5.705882352941177,0.0,0.0,0.0,0.0,0.171,-0.25,0.0,1.0
-1,0.9565217391304348,4.956521739130435,0.0,0.0,0.0,0.0,0.234,-0.20833333333333331,0.0,1.0
-1,0.725,5.4,0.0,0.0,0.0,0.1,0.0,-0.16666666666666666,0.0,1.0
-1,0.9,5.7,0.0,0.0,0.0,0.0,0.0,-0.4,0.0,1.0
-1,0.8529411764705882,5.705882352941177,0.0,0.0,0.0,0.286,0.0,-0.04999999999999999,0.0,1.0
-1,0.9,4.95,0.0,0.0,0.0,0.0,0.354,-0.06666666666666667,0.0,1.0
-1,0.8974358974358975,5.410256410256411,0.0,0.0,0.0,0.0,0.207,-0.25,0.0,1.0
-1,0.8620689655172413,5.482758620689655,0.0,0.0,0.0,0.056,0.131,-0.5,0.0,1.0
